,id,brand,title,sold_price,actual_price,url
333,334,EyeBogler,Men Checkered Polo Neck Green T-Shirt,₹379,"₹1,299",https://www.flipkart.com/eyebogler-checkered-men-polo-neck-green-t-shirt/p/itm561b665c682b1?pid=TSHGDDY7HHF2RUNH&lid=LSTTSHGDDY7HHF2RUNHXOIDMG&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_174&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGDDY7HHF2RUNH.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
334,335,KAJARU,"Pack of 2 Men Striped Round Neck Green, Blue T-Shirt",₹389,"₹1,899",https://www.flipkart.com/kajaru-striped-men-round-neck-green-blue-t-shirt/p/itm00e86c84e1983?pid=TSHGK49MCUJVNG9N&lid=LSTTSHGK49MCUJVNG9NO23WPQ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_175&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGK49MCUJVNG9N.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
335,336,Austivo,Men Striped Polo Neck Multicolor T-Shirt,₹475,"₹1,799",https://www.flipkart.com/austivo-striped-men-polo-neck-multicolor-t-shirt/p/itmc0c5ba4d1e8f6?pid=TSHGGQCPZSQNHK8G&lid=LSTTSHGGQCPZSQNHK8GGOPKCP&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_176&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGGQCPZSQNHK8G.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
336,337,Kushi flyer,Men Printed Round Neck White T-Shirt,₹269,₹799,https://www.flipkart.com/kushi-flyer-printed-men-round-neck-white-t-shirt/p/itm675cb6c40cbc4?pid=TSHGKZNQAYZFZ32A&lid=LSTTSHGKZNQAYZFZ32AFJUDQJ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_177&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQGJzL0UbLtmw9SQjMAmJ1bQQ7GkFDJw5L8ekDiy3eJ1xA%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
337,338,BLIVE,"Pack of 2 Men Printed Round Neck Yellow, Black T-Shirt",₹399,"₹1,999",https://www.flipkart.com/blive-printed-men-round-neck-yellow-black-t-shirt/p/itmc96f0c4d4775a?pid=TSHGMHTUEAB7KS8G&lid=LSTTSHGMHTUEAB7KS8GNBXSXQ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_178&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQFcHemAEZ0yGQ4ASwmy%2FG4k2axcVXdVVqgrcZTOsN%2F2Kw%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
338,339,KAJARU,"Pack of 2 Men Striped Round Neck Green, Yellow T-Shirt",₹389,"₹1,899",https://www.flipkart.com/kajaru-striped-men-round-neck-green-yellow-t-shirt/p/itm57ab576fe9465?pid=TSHGK4BYKSHT6Y5N&lid=LSTTSHGK4BYKSHT6Y5NK0Y4VA&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_179&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGK4BYKSHT6Y5N.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
339,340,AUSK,"Men Color Block Round Neck White, Blue, Grey T-Shirt",₹279,₹999,https://www.flipkart.com/ausk-color-block-men-round-neck-white-blue-grey-t-shirt/p/itm7b189a7b5994f?pid=TSHFGJBFQCDZZTWA&lid=LSTTSHFGJBFQCDZZTWAFOFHJH&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_180&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHFGJBFQCDZZTWA.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
340,341,We Perfect,Men Printed Polo Neck Blue T-Shirt,₹339,"₹1,299",https://www.flipkart.com/perfect-printed-men-polo-neck-blue-t-shirt/p/itmc035c22029759?pid=TSHG4DP9PFJM6KNG&lid=LSTTSHG4DP9PFJM6KNGBT2H2N&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_181&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQGwU%2BCJsiDP4Bm%2Fot1IaqMwma7jJMR6QzkUdam5dTkcMA%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
341,342,Cruister,"Pack of 2 Men Sporty Round Neck Dark Blue, Black T-Shir...",₹494,"₹1,299",https://www.flipkart.com/cruister-sporty-men-round-neck-dark-blue-black-t-shirt/p/itm91ab12af76f2c?pid=TSHGG4YDVSHDDX2S&lid=LSTTSHGG4YDVSHDDX2SWJFBFE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_182&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQH6O93tNPoqBYJ40HJLVT66x9DV114gien6QX8G9AkxSw%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
342,343,JUGULAR,Men Solid Hooded Neck Black T-Shirt,₹289,₹888,https://www.flipkart.com/jugular-solid-men-hooded-neck-black-t-shirt/p/itmeed1e7232636c?pid=TSHGHZRDTWN76DZ4&lid=LSTTSHGHZRDTWN76DZ4AIAVBW&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_183&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGHZRDTWN76DZ4.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
343,344,FTX,Pack of 4 Men Solid Round Neck Multicolor T-Shirt,₹469,"₹1,499",https://www.flipkart.com/ftx-solid-men-round-neck-multicolor-t-shirt/p/itm1dc6245dad1d0?pid=TSHGDSQPQSJRKFZV&lid=LSTTSHGDSQPQSJRKFZV0EE2LM&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_184&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGDSQPQSJRKFZV.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
344,345,KAJARU,Men Striped Round Neck White T-Shirt,₹259,"₹1,399",https://www.flipkart.com/kajaru-striped-men-round-neck-white-t-shirt/p/itm4ce6dacae3782?pid=TSHGH99ZZKYTQEG5&lid=LSTTSHGH99ZZKYTQEG5YEEMDV&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_185&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGH99ZZKYTQEG5.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
345,346,MANIAC,"Men Typography Round Neck Purple, White T-Shirt",₹579,"₹1,659",https://www.flipkart.com/maniac-typography-men-round-neck-purple-white-t-shirt/p/itm59b8ac0d78297?pid=TSHGNC3X8YWGXWRN&lid=LSTTSHGNC3X8YWGXWRN6IOA2R&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_186&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGNC3X8YWGXWRN.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
346,347,AUSK,"Men Striped Polo Neck Black, Dark Blue T-Shirt",₹319,"₹1,499",https://www.flipkart.com/ausk-striped-men-polo-neck-black-dark-blue-t-shirt/p/itme521a4ce235be?pid=TSHGMZZHZZ9HG9CB&lid=LSTTSHGMZZHZZ9HG9CBARJ5PJ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_187&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQHFLCAH9sIwroVN5MgLQ6D66pe%2BSclHVlABFjTsxBnI1A%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
347,348,Gentino,"Pack of 2 Men Solid Polo Neck Green, Orange T-Shirt",₹579,"₹1,799",https://www.flipkart.com/gentino-solid-men-polo-neck-green-orange-t-shirt/p/itmc1137e8137f66?pid=TSHGZ4XTSFKPV2EF&lid=LSTTSHGZ4XTSFKPV2EFIHYOBK&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_188&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQFEIFsl64qv3C3u9rNogHwjJ9V4%2BWuI7458wlnvCa%2Btpw%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
348,349,NB NICKY BOY,Men Printed Round Neck Black T-Shirt,₹239,₹666,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm3a9533d26d24f?pid=TSHGJZTGTGXE27EP&lid=LSTTSHGJZTGTGXE27EP18ERAF&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_189&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGJZTGTGXE27EP.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
349,350,AUSK,Men Solid Mandarin Collar Black T-Shirt,₹399,"₹1,499",https://www.flipkart.com/ausk-solid-men-mandarin-collar-black-t-shirt/p/itm130f2492bdbd7?pid=TSHGZBGHYV4GGRWN&lid=LSTTSHGZBGHYV4GGRWNVZWY1H&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_190&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGZBGHYV4GGRWN.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
350,351,SDK,Men Self Design High Neck White T-Shirt,₹499,"₹1,299",https://www.flipkart.com/sdk-self-design-men-high-neck-white-t-shirt/p/itm2020614a22bc4?pid=TSHGAJ6ZSYPVQPXD&lid=LSTTSHGAJ6ZSYPVQPXDSEVS2B&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_191&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQEcexRkw1iWrCXlp9TL2qqTh9zSDEhEpUdhPJIVWq1fjw%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
351,352,AUSK,"Men Striped Polo Neck Black, White T-Shirt",₹329,"₹1,499",https://www.flipkart.com/ausk-striped-men-polo-neck-black-white-t-shirt/p/itm8c27a65682a13?pid=TSHGMZZ8EEZRE9HH&lid=LSTTSHGMZZ8EEZRE9HH8RPO77&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_192&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQHyn9IYb3tKzaj95%2Bnr06ErU0ry9IZ47QXRwY03HPiDiQ%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
352,353,aruati,Men Printed Polo Neck Multicolor T-Shirt,₹349,₹999,https://www.flipkart.com/aruati-printed-men-polo-neck-multicolor-t-shirt/p/itm7a71c4c2d5a98?pid=TSHG4QGFBVE254GA&lid=LSTTSHG4QGFBVE254GAFF6WQJ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_193&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHG4QGFBVE254GA.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
353,354,NIKE,Men Printed Round Neck Black T-Shirt,₹558,"₹1,595",https://www.flipkart.com/nike-printed-men-round-neck-black-t-shirt/p/itm49f134915d094?pid=TSHGBTHKF6J5HMXK&lid=LSTTSHGBTHKF6J5HMXKWRZXQW&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_194&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGBTHKF6J5HMXK.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
354,355,AUSK,"Men Color Block Round Neck Pink, White T-Shirt",₹289,"₹1,499",https://www.flipkart.com/ausk-color-block-men-round-neck-pink-white-t-shirt/p/itma0dc88696daf4?pid=TSHGZBP84BNC6Q52&lid=LSTTSHGZBP84BNC6Q52VXPASG&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_195&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGZBP84BNC6Q52.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
355,356,Try This,Men Color Block Polo Neck Green T-Shirt,₹399,₹999,https://www.flipkart.com/try-color-block-men-polo-neck-green-t-shirt/p/itmb780ecdaf89d4?pid=TSHGDVSXUFUEFHZZ&lid=LSTTSHGDVSXUFUEFHZZXTEDTL&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_196&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGDVSXUFUEFHZZ.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
356,357,Pytton,Men Striped Round Neck Red T-Shirt,₹359,₹999,https://www.flipkart.com/pytton-striped-men-round-neck-red-t-shirt/p/itm1d825e51a452e?pid=TSHGGA84ZGHGGRUE&lid=LSTTSHGGA84ZGHGGRUEMECJJP&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_197&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQGRjVk8%2BsKpvl%2B3H9gLZRoCNE6H7f%2Bu3ewwJsWd%2F%2BkwjQ%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
357,358,BEWAKOOF,Mickey By BEWAKOOF Men Printed Round Neck Black T-Shirt,₹499,,https://www.flipkart.com/bewakoof-printed-men-round-neck-black-t-shirt/p/itm8003de8cde2eb?pid=TSHFVZZUNXAZ3FEP&lid=LSTTSHFVZZUNXAZ3FEPPLTITR&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_198&otracker=browse&fm=organic&iid=en_JBwGSkYshTvZWbruXa8BF%2BmAoDreJJTWWUekTtrjXQHLfVIntnAlAr7dHCbOeZFMcz2HNPxlj9hDJebYVtYxkg%3D%3D&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
358,359,SLOWLORIS,"Men Typography Hooded Neck Maroon, Black T-Shirt",₹279,"₹1,299",https://www.flipkart.com/slowloris-typography-men-hooded-neck-maroon-black-t-shirt/p/itmcd5c0ddea59d7?pid=TSHGFS5MNHUVKBJZ&lid=LSTTSHGFS5MNHUVKBJZTO9NHU&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_199&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGFS5MNHUVKBJZ.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
359,360,STYLOGUE,"Men Printed, Typography Round Neck Light Blue T-Shirt",₹269,₹999,https://www.flipkart.com/stylogue-printed-typography-men-round-neck-light-blue-t-shirt/p/itmf177f4ad8ef45?pid=TSHGHGHGAUPHZVBY&lid=LSTTSHGHGHGAUPHZVBY1ZKGFX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_5_200&otracker=browse&fm=organic&iid=5f012f8a-ab51-4375-a1d3-f6fdd013aeb7.TSHGHGHGAUPHZVBY.SEARCH&ppt=None&ppn=None&ssid=agqtnxikv40000001684591826898
360,361,VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,₹289,"₹1,849",https://www.flipkart.com/vebnor-men-printed-casual-light-blue-shirt/p/itm05a8d2551f5be?pid=SHTGJMJHUNHCF5XN&lid=LSTSHTGJMJHUNHCF5XNDSR5QU&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_5_161&otracker=browse&fm=organic&iid=en_mMczNwy8%2BB38jZMIG4ZQxHstmg%2B5UhYR5oZY9802z7CNEoG%2B7zJV3rmxUFCyvRYY3oOjYzdh6bDYp5rPHINXuA%3D%3D&ppt=None&ppn=None&ssid=yj90i0zy4w0000001684591829502
361,362,EVIQE,Men Regular Fit Solid Mandarin Collar Casual Shirt,₹359,"₹1,999",https://www.flipkart.com/eviqe-men-solid-casual-white-shirt/p/itm76d1bc7b1d762?pid=SHTG5HHZGMYXYRUW&lid=LSTSHTG5HHZGMYXYRUWWNGSHG&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_5_162&otracker=browse&fm=organic&iid=en_mMczNwy8%2BB38jZMIG4ZQxHstmg%2B5UhYR5oZY9802z7ABncOHvKXFYbHfJlaOQBn4202fpXId%2F4DE%2Bra0LZcM1A%3D%3D&ppt=None&ppn=None&ssid=yj90i0zy4w0000001684591829502
362,363,Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,₹289,"₹1,399",https://www.flipkart.com/tanip-men-checkered-casual-light-blue-shirt/p/itm171f00150dc26?pid=SHTGEEVD6GM4GCNF&lid=LSTSHTGEEVD6GM4GCNFEE03J6&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_5_163&otracker=browse&fm=organic&iid=428b7c88-fef7-4474-b484-94d3ecb2686d.SHTGEEVD6GM4GCNF.SEARCH&ppt=None&ppn=None&ssid=yj90i0zy4w0000001684591829502
363,364,Majestic Man,Men Slim Fit Checkered Spread Collar Casual Shirt,₹469,"₹1,499",https://www.flipkart.com/majestic-man-men-checkered-casual-white-shirt/p/itm2cd93af3f7956?pid=SHTGADHA2ADGU2YF&lid=LSTSHTGADHA2ADGU2YFCTJTJA&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_5_164&otracker=browse&fm=organic&iid=428b7c88-fef7-4474-b484-94d3ecb2686d.SHTGADHA2ADGU2YF.SEARCH&ppt=None&ppn=None&ssid=yj90i0zy4w0000001684591829502
364,365,EVIQE,"Men Regular, Slim Fit Solid Spread Collar Casual Shirt",₹349,"₹1,999",https://www.flipkart.com/eviqe-men-solid-casual-blue-shirt/p/itm3e4028c3a9bba?pid=SHTGFSSYHKBANZYQ&lid=LSTSHTGFSSYHKBANZYQQR1FXB&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_5_165&otracker=browse&fm=organic&iid=428b7c88-fef7-4474-b484-94d3ecb2686d.SHTGFSSYHKBANZYQ.SEARCH&ppt=None&ppn=None&ssid=yj90i0zy4w0000001684591829502
