url,title
https://www.flipkart.com/indian-terrain-men-checkered-casual-brown-shirt/p/itm3ec35561a1049?pid=SHTGF8TVDHZSM2AG&lid=LSTSHTGF8TVDHZSM2AGSEXWAX&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_20_799&otracker=browse&fm=organic&iid=d3153870-24f7-4b49-89cd-f661cf457ea6.SHTGF8TVDHZSM2AG.SEARCH&ppt=None&ppn=None&ssid=2jl2pckq4w0000001684591924293,Men Regular Fit Checkered Casual ShirtINDIAN TERRAIN
https://ajiobusiness.com/storefront/ProductDetails/464960056,Linen Solid Casual ShirtsON FIRE
https://ajiobusiness.com/storefront/ProductDetails/464810552,Linen Solid Casual ShirtsKuons Avenue
https://www.flipkart.com/indian-garage-co-men-checkered-casual-blue-shirt/p/itm503ab31e7e516?pid=SHTGG22FCBJYFHBH&lid=LSTSHTGG22FCBJYFHBHWRFVIY&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_7_249&otracker=browse&fm=organic&iid=f2bafba0-be30-4ff5-a16a-eb7ed3c5e622.SHTGG22FCBJYFHBH.SEARCH&ppt=None&ppn=None&ssid=2azgrd9guo0000001684591840040,Men Regular Fit Checkered Casual ShirtThe Indian Garage Co.
https://ajiobusiness.com/storefront/ProductDetails/464638291,Cotton Stripes ShirtCAMISA
https://ajiobusiness.com/storefront/ProductDetails/464695199,Cotton Checks Formal ShirtsiVOC
https://trends.ajio.com/kb-team-spirit-printed-shirt-with-patch-pocket/p/441122005_green,Printed Shirt with Patch PocketKB TEAM SPIRIT
https://ajiobusiness.com/storefront/ProductDetails/464856005,Cotton Solid Shirt1KKA
https://ajiobusiness.com/storefront/ProductDetails/464618233,Cotton Stripes Casual ShirtsVICTORY CLUB
https://www.flipkart.com/reslag-men-solid-casual-blue-shirt/p/itm791eba8a28b2c?pid=SHTGZTZJQVNSVPX2&lid=LSTSHTGZTZJQVNSVPX2BJPR1D&marketplace=FLIPKART&store=clo%2Fash%2Faxc%2Fmmk%2Fkp7&srno=b_17_671&otracker=browse&fm=organic&iid=en_QmqBn5703iLoHxPGRIGH%2FweHeBzxR7Wug9krFF%2FSY3%2BLoR87%2FYM%2FMb2a2FcWOFGt8M8wVJT4lSBc07WQbqoMpA%3D%3D&ppt=None&ppn=None&ssid=tyh73jdrw00000001684591901400,Men Slim Fit Solid Cut Away Collar Casual ShirtReSLAG
https://ajiobusiness.com/storefront/ProductDetails/469265669,Polyester Checks Casual ShirtsHARDSODA
https://www.flipkart.com/jump-cuts-printed-men-round-neck-dark-blue-t-shirt/p/itmd92c64e309bc3?pid=TSHGMXHGEECJJE9U&lid=LSTTSHGMXHGEECJJE9UXKG1QC&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_9_345&otracker=browse&fm=organic&iid=4635b029-6f0d-4a58-afc0-34dc5740b09a.TSHGMXHGEECJJE9U.SEARCH&ppt=None&ppn=None&ssid=khqimmvm680000001684591848510,Men Printed Round Neck Dark Blue T-ShirtJump Cuts
https://trends.ajio.com/first-class-band-collar-shirt-with-welt-pocket/p/441101821_ltyellow,Band-Collar Shirt with Welt PocketFIRST CLASS
https://www.flipkart.com/perfect-printed-men-polo-neck-blue-t-shirt/p/itmc035c22029759?pid=TSHG4DP9PFJM6KNG&lid=LSTTSHG4DP9PFJM6KNGBT2H2N&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_11_418&otracker=browse&fm=organic&iid=en_nvYFbrTTKCdGfeO6Jg8cnItaLPVQVmIoqNdP%2FqxjnjQQRLP94siUbyQB%2FFg5VlFQma7jJMR6QzkUdam5dTkcMA%3D%3D&ppt=None&ppn=None&ssid=qgvhbmht8g0000001684591860440,Men Printed Polo Neck Blue T-ShirtWe Perfect
https://ajiobusiness.com/storefront/ProductDetails/464956478,Cotton Checks Casual ShirtsV-VIVID WAVE
https://trends.ajio.com/yb-dnmx-cut-away-collar-shirt-with-patch-pocket/p/441132111_mustard,Cut-Away Collar Shirt with Patch PocketYB DNMX
https://ajiobusiness.com/storefront/ProductDetails/464628987,Cotton stretch Printed ShirtGOOGLY 4
https://ajiobusiness.com/storefront/ProductDetails/464578019,Cotton Solid Casual ShirtsKHADIO
https://ajiobusiness.com/storefront/ProductDetails/464967180,Twill Stripes Casual ShirtsGOOGLY 4
https://ajiobusiness.com/storefront/ProductDetails/464678496,Satin Printed Casual ShirtsROYAL JACK FASHION LAB
https://ajiobusiness.com/storefront/ProductDetails/464787280,Cotton Textured ShirtNOTTYTOUCH
https://trends.ajio.com/612-league-checked-shirt-and-t-shirt-set/p/441000864_orange,Checked Shirt and T-shirt Set612 LEAGUE
https://ajiobusiness.com/storefront/ProductDetails/464678329,Cotton Solid ShirtBLACK COFFEE
https://ajiobusiness.com/storefront/ProductDetails/464660987,Cotton Printed Casual ShirtsROYAL JACK FASHION LAB
https://ajiobusiness.com/storefront/ProductDetails/464707059,Twill Checks Casual ShirtsJACK OFF
https://ajiobusiness.com/storefront/ProductDetails/464652292,Twill Checks Casual ShirtsCODERED RETAILS
https://ajiobusiness.com/storefront/ProductDetails/464668077,Polyester Cotton Checks ShirtMANQ
https://www.ajio.com/van-heusen-button-down-shirt-with-spread-collar/p/469214815_green,Button-Down Shirt with Spread CollarVAN HEUSEN
